id,naslov,leto,ocena
mission_impossible_ghost_protocol,Mission: Impossible Ghost Protocol,2011,93
dr_no,Dr. No,1962,96
from_justin_to_kelly,From Justin To Kelly,2003,10
1209767-mary_and_max,Mary and Max,2009,95
youngheart,Young@Heart,2007,88
the-endurance,The Endurance,2001,95
not_quite_hollywood,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",2008,94
drive_2011,Drive,2011,92
1012928-m,M,1931,100
mountain-patrol-kekexili,Mountain Patrol: Kekexili,2006,98
pinocchio_1940,Pinocchio,1940,100
1083436-1083436-out_of_sight,Out of Sight,1998,93
seraphim_falls,Seraphim Falls,2007,55
71_2015,'71,2015,96
end_of_the_century_the_story_of_the_ramones,End of the Century: The Story of the Ramones,2004,95
man_without_a_past,The Man Without a Past,2002,98
croupier,Croupier,2000,98
steep,Steep,2007,53
the_imitation_game,The Imitation Game,2014,90
super_size_me,Super Size Me,2004,93
1000355-adventures_of_robin_hood,The Adventures of Robin Hood,1938,100
ratatouille,Ratatouille,2007,96
seymour_an_introduction,Seymour: An Introduction,2015,100
the-gold-rush,The Gold Rush,1925,100
paranorman,ParaNorman,2012,87
anomalisa,Anomalisa,2015,96
timbuktu_2015,Timbuktu,2015,99
spotlight_2015,Spotlight,2015,97
the_lone_ranger,The Lone Ranger,2013,31
four_weddings_and_a_funeral,Four Weddings and a Funeral,1994,95
let_the_right_one_in,Let the Right One In,2008,98
psycho,Psycho,1960,96
real_cancun,The Real Cancun,2003,35
inconvenient_truth,An Inconvenient Truth,2006,93
repo_man,Repo Man,1984,98
f_for_fake,F for Fake,1974,88
1010679-invasion_of_the_body_snatchers,Invasion of the Body Snatchers,1978,94
vertigo,Vertigo,1958,97
murderball,Murderball,2005,98
iron_giant,The Iron Giant,1999,96
sunrise,Sunrise: A Song of Two Humans,1927,98
who_framed_roger_rabbit,Who Framed Roger Rabbit,1988,97
citizenfour,Citizenfour,2014,98
touching_the_void,Touching the Void,2004,93
wordplay,Wordplay,2006,95
enough_said_2013,Enough Said,2013,96
amadeus,Amadeus,1984,95
spy_kids,Spy Kids,2001,93
exorcist,The Exorcist,1973,87
departed,The Departed,2006,91
