id,naslov,leto,ocena
0445922,Across the Universe,2007,7.4
0095765,Cinema Paradiso,1988,8.5
0386064,Tae Guk Gi: The Brotherhood of War,2004,8.1
1125849,The Wrestler,2008,7.9
0032976,Rebecca,1940,8.2
0025316,It Happened One Night,1934,8.2
0087781,The Natural,1984,7.5
1182345,Moon,2009,8.0
0986264,Like Stars on Earth,2007,8.5
0499549,Avatar,2009,7.9
0053291,Some Like It Hot,1959,8.3
0249462,Billy Elliot,2000,7.7
0024216,King Kong,1933,8.0
0060827,Persona,1966,8.2
0104694,A League of Their Own,1992,7.2
1659337,The Perks of Being a Wallflower,2012,8.0
0266697,Kill Bill: Vol. 1,2003,8.1
0112573,Braveheart,1995,8.4
0119488,L.A. Confidential,1997,8.3
2194499,About Time,2013,7.8
2265171,The Raid 2,2014,8.0
0457430,Pan&#x27;s Labyrinth,2006,8.2
0393162,Coach Carter,2005,7.2
2294629,Frozen,2013,7.6
0061811,In the Heat of the Night,1967,8.0
0119282,Hercules,1997,7.2
0040897,The Treasure of the Sierra Madre,1948,8.3
0266543,Finding Nemo,2003,8.2
0108052,Schindler&#x27;s List,1993,8.9
1323594,Despicable Me,2010,7.7
0083658,Blade Runner,1982,8.2
0398286,Tangled,2010,7.8
0137523,Fight Club,1999,8.9
0468569,The Dark Knight,2008,9.0
0058777,Zulu,1964,7.8
0042876,Rashomon,1950,8.3
0319061,Big Fish,2003,8.0
0047296,On the Waterfront,1954,8.3
0120731,The Legend of 1900,1998,8.1
0166813,Spirit: Stallion of the Cimarron,2002,7.0
0075686,Annie Hall,1977,8.1
0090605,Aliens,1986,8.4
0283509,No Man&#x27;s Land,2001,8.0
1562872,Zindagi Na Milegi Dobara,2011,8.1
0206634,Children of Men,2006,7.9
0104652,Porco Rosso,1992,7.8
0032553,The Great Dictator,1940,8.5
0118715,The Big Lebowski,1998,8.2
3659388,The Martian,2015,8.1
0109707,Ed Wood,1994,7.9
0102138,JFK,1991,8.0
0407887,The Departed,2006,8.5
0172684,Kuch Kuch Hota Hai,1998,7.8
1392190,Mad Max: Fury Road,2015,8.2
0093779,The Princess Bride,1987,8.1
0146882,High Fidelity,2000,7.6
0032910,Pinocchio,1940,7.5
0053221,Rio Bravo,1959,8.1
0066921,A Clockwork Orange,1971,8.4
0381681,Before Sunset,2004,8.1
1675434,The Intouchables,2011,8.6
0248126,Kabhi Khushi Kabhie Gham...,2001,7.5
0043265,The African Queen,1951,7.9
0268978,A Beautiful Mind,2001,8.2
0087553,The Killing Fields,1984,7.9
0059742,The Sound of Music,1965,8.0
2082197,Barfi!,2012,8.2
0108394,Three Colors: Blue,1993,8.0
1707386,Les Mis&#xE9;rables,2012,7.6
0964517,The Fighter,2010,7.9
0052618,Ben-Hur,1959,8.1
0118843,"Black Cat, White Cat",1998,8.1
0103873,Dead Alive,1992,7.6
0293508,The Phantom of the Opera,2004,7.4
0169102,Lagaan: Once Upon a Time in India,2001,8.2
1255953,Incendies,2010,8.2
0070735,The Sting,1973,8.3
0029583,Snow White and the Seven Dwarfs,1937,7.7
0265086,Black Hawk Down,2001,7.7
0038650,It&#x27;s a Wonderful Life,1946,8.6
0790636,Dallas Buyers Club,2013,8.0
0275277,Cowboy Bebop: The Movie,2001,7.9
3076658,Creed,2015,8.1
1457767,The Conjuring,2013,7.5
1139797,Let the Right One In,2008,8.0
0061512,Cool Hand Luke,1967,8.2
1192628,Rango,2011,7.3
2024544,12 Years a Slave,2013,8.1
0482571,The Prestige,2006,8.5
0110413,L&#xE9;on: The Professional,1994,8.6
0076723,Slap Shot,1977,7.4
1588170,I Saw the Devil,2010,7.8
0167261,The Lord of the Rings: The Two Towers,2002,8.7
0108358,Tombstone,1993,7.8
0087538,The Karate Kid,1984,7.2
0332379,School of Rock,2003,7.1
0434409,V for Vendetta,2005,8.2
1263670,Crazy Heart,2009,7.3
2015381,Guardians of the Galaxy,2014,8.1
0385002,Green Street Hooligans,2005,7.5
0088258,This Is Spinal Tap,1984,8.0
0050976,The Seventh Seal,1957,8.2
0077416,The Deer Hunter,1978,8.2
0110912,Pulp Fiction,1994,8.9
0046268,The Wages of Fear,1953,8.2
0099871,Jacob&#x27;s Ladder,1990,7.5
0031971,Stagecoach,1939,7.9
1185616,Waltz with Bashir,2008,8.0
1853728,Django Unchained,2012,8.5
0046911,Diabolique,1955,8.1
0047478,Seven Samurai,1954,8.7
0120586,American History X,1998,8.6
0091217,Hoosiers,1986,7.6
0107048,Groundhog Day,1993,8.1
0275847,Lilo &#x26; Stitch,2002,7.2
0097351,Field of Dreams,1989,7.6
0073629,The Rocky Horror Picture Show,1975,7.4
0092965,Empire of the Sun,1987,7.8
0055630,Yojimbo,1961,8.3
0317219,Cars,2006,7.2
0325710,The Last Samurai,2003,7.7
0077651,Halloween,1978,7.9
