film,zanr
0050188,drama
0050188,family
0050188,musical
0050212,adventure
0050212,drama
0050212,war
0050322,comedy
0050322,crime
0050322,drama
0050322,thriller
0050539,drama
0050539,sci_fi
0050539,thriller
0050634,drama
0050634,romance
0050634,war
0050665,musical
0050665,mystery
0050665,romance
0050752,adventure
0050752,drama
0050752,musical
0050752,romance
0050752,sport
0050758,drama
0050758,family
0050758,musical
0050766,horror
0050766,mystery
0050766,thriller
0050825,drama
0050825,war
0050870,drama
0050870,musical
0050870,romance
0050976,drama
0050976,fantasy
0050986,drama
0050986,romance
0050987,animation
0050987,drama
0050987,family
0050987,fantasy
0051019,drama
0051019,film_noir
0051036,drama
0051036,film_noir
0051201,drama
0051201,mystery
0051693,drama
0051758,biography
0051758,crime
0051758,drama
0051758,film_noir
0051792,drama
0051792,music
0051808,adventure
0051808,drama
0051866,crime
0051866,drama
0051866,film_noir
0051927,comedy
0051927,drama
0051927,romance
0051959,crime
0051959,drama
0051959,film_noir
0051959,thriller
0051994,action
0051994,drama
0051994,history
0052050,drama
0052050,film_noir
0052080,drama
0052080,war
0052311,crime
0052311,film_noir
0052311,thriller
0052357,mystery
0052357,romance
0052357,thriller
0052374,adventure
0052374,fantasy
0052374,sci_fi
0052560,comedy
0052560,drama
0052560,musical
0052560,romance
0052561,crime
0052561,drama
0052561,mystery
0052561,thriller
0052600,drama
0052600,romance
0052600,war
0052618,adventure
0052618,drama
0052618,war
0052642,drama
0052642,music
0052724,western
0052784,comedy
0052784,crime
0052784,horror
0052861,comedy
0052861,drama
0052861,war
0052954,musical
0052954,romance
0052993,romance
0052993,western
0053114,drama
0053114,war
0053115,drama
0053115,history
0053115,war
0053121,drama
0053121,war
0053125,adventure
0053125,crime
0053125,mystery
0053125,thriller
0053176,drama
0053176,mystery
0053176,thriller
0053198,crime
0053198,drama
0053221,comedy
0053221,drama
0053221,western
0053291,comedy
0053291,crime
0053317,drama
0053317,war
0053459,drama
0053459,horror
0053604,comedy
0053604,drama
0053604,romance
0053619,drama
0053619,mystery
0053856,drama
0053856,war
0053935,adventure
0053935,drama
0053935,war
0053946,drama
0053946,history
0053976,drama
0053976,thriller
0054001,comedy
0054001,crime
0054001,mystery
0054001,thriller
0054042,drama
0054042,fantasy
0054042,mystery
0054047,action
0054047,adventure
0054047,western
0054073,drama
0054073,musical
0054098,drama
0054098,romance
0054098,war
0054167,drama
0054167,horror
0054167,thriller
0054215,horror
0054215,mystery
0054215,thriller
0054248,crime
0054248,drama
0054248,sport
0054292,crime
0054292,western
0054331,adventure
0054331,biography
0054331,drama
0054331,history
0054331,war
0054387,adventure
0054387,fantasy
0054387,romance
0054387,sci_fi
0054387,thriller
0054407,crime
0054407,drama
0054407,thriller
0054451,drama
0054451,war
0054460,crime
0054460,drama
0054460,thriller
0054632,drama
0054632,mystery
0054665,adventure
0054665,comedy
0054665,fantasy
0054665,romance
0054665,sci_fi
0054665,war
0054749,drama
0054749,war
0054969,adventure
0054969,drama
0054969,western
0054997,drama
0054997,sport
0055018,horror
0055031,drama
0055031,history
0055031,war
0055038,comedy
0055038,crime
0055038,mystery
0055038,thriller
0055153,drama
0055153,horror
0055153,mystery
0055184,drama
0055184,romance
0055184,western
0055233,drama
0055233,history
0055233,war
0055602,comedy
0055602,drama
0055602,war
0055630,comedy
0055630,drama
0055635,comedy
0055635,musical
0055798,biography
0055798,drama
0055852,comedy
0055852,drama
0055852,music
0056058,action
0056058,drama
0056058,history
0056111,drama
0056111,war
0056160,drama
0056160,history
0056160,war
0056172,adventure
0056172,biography
0056172,drama
0056172,history
0056172,war
0056194,drama
0056194,sport
0056195,drama
0056195,western
0056217,western
0056241,biography
0056241,drama
0056382,drama
0056382,war
0056406,drama
0056406,sport
0056412,western
0056436,drama
0056436,musical
0056443,action
0056443,drama
0056443,thriller
0056732,comedy
0056732,drama
0056732,fantasy
0056732,mystery
0056869,horror
0056923,comedy
0056923,mystery
0056923,romance
0056923,thriller
0056982,adventure
0056982,crime
0056982,drama
0056982,western
0057012,comedy
0057091,drama
0057091,history
0057115,adventure
0057115,drama
0057115,history
0057115,war
0057129,horror
0057357,action
0057357,adventure
0057357,drama
0057357,history
0057357,romance
0057357,war
0057427,drama
0057427,mystery
0057427,thriller
0057565,crime
0057565,drama
0057565,mystery
0057565,thriller
0057578,drama
0057578,sport
0057591,action
0057591,comedy
0057591,crime
0057695,adventure
0057695,comedy
0057695,drama
0057695,history
0057695,romance
0057695,sport
0057841,adventure
0057841,biography
0057841,comedy
0057841,family
0057877,biography
0057877,drama
0057877,history
0057892,adventure
0057892,drama
0057892,western
0057935,drama
0057935,romance
0058275,adventure
0058275,comedy
0058275,musical
0058275,romance
0058275,western
0058277,drama
0058277,romance
0058277,war
0058279,fantasy
0058279,horror
0058385,drama
0058385,family
0058385,musical
0058385,romance
0058394,adventure
0058394,war
0058430,horror
0058439,drama
0058439,history
0058439,romance
0058439,war
0058461,action
0058461,drama
0058461,western
0058604,drama
0058604,music
0058604,war
0058642,drama
0058642,music
0058642,romance
0058715,biography
0058715,drama
0058715,history
0058946,drama
0058946,war
0059012,comedy
0059012,drama
0059012,history
0059012,war
0059074,family
0059074,sport
0059113,drama
0059113,romance
0059113,war
0059246,drama
0059246,musical
0059246,romance
0059274,drama
0059274,war
0059550,comedy
0059550,crime
0059550,romance
0059578,western
0059643,adventure
0059643,drama
0059643,fantasy
0059643,mystery
0059646,drama
0059646,horror
0059646,thriller
0059742,biography
0059742,drama
0059742,family
0059742,musical
0059742,romance
0059776,drama
0059776,history
0059776,war
0059812,comedy
0059825,action
0059825,thriller
0059825,war
0059855,animation
0059855,family
0059855,fantasy
0059884,drama
0059884,romance
0059884,war
0060107,biography
0060107,drama
0060107,history
0060125,adventure
0060125,comedy
0060125,history
0060161,comedy
0060161,crime
0060161,romance
0060165,western
0060196,western
0060277,action
0060277,drama
0060305,crime
0060305,drama
0060439,comedy
0060439,drama
0060439,fantasy
0060439,music
0060439,musical
0060474,comedy
0060474,war
0060482,biography
0060482,drama
0060482,history
0060482,war
0060584,comedy
0060584,romance
0060665,biography
0060665,drama
0060665,history
0060827,drama
0060827,thriller
0060862,action
0060862,adventure
0060862,western
0060955,sci_fi
0060955,thriller
0061009,thriller
0061065,drama
0061065,sci_fi
0061069,adventure
0061069,animation
0061069,family
0061069,fantasy
0061512,crime
0061512,drama
0061530,drama
0061530,war
0061619,drama
0061619,romance
0061619,western
0061752,drama
0061752,fantasy
0061752,horror
0061752,mystery
0061752,thriller
0061770,western
0061811,crime
